Id_Venta;Id_Cliente;Nombre;Apellido;Genero;Correo;Tarjeta;Telefono;Id_Producto;Descripcion;Proveedor;Precio_Unitario;Cantidad;Total;Fecha;Hora;id_Sucursal;Localidad
Fact4001;224;Zenia;Kibblewhite;F;zkibblewhite67@cbc.ca;5,57E+15;(656) 9867645;11;Paula;Cannon Premium;8500;1;8500;2/1/2023;18:14;100;Rosario
Fact4002;503;Lou;Pepperell;F;lpepperelldy@mail.ru;5,05E+15;(756) 5283675;11;Paula;Cannon Premium;8500;1;8500;8/1/2023;19:10;100;Rosario
Fact4003;551;Vanya;McFie;F;vmcfiefa@elegantthemes.com;3,74E+14;(484) 3756733;11;Paula;Cannon Premium;8500;1;8500;16/1/2023;18:34;100;Rosario
Fact4004;503;Lou;Pepperell;F;lpepperelldy@mail.ru;5,05E+15;(756) 5283675;11;Paula;Cannon Premium;8500;1;8500;21/1/2023;19:10;100;Rosario
Fact4005;224;Zenia;Kibblewhite;F;zkibblewhite67@cbc.ca;5,57E+15;(656) 9867645;11;Paula;Cannon Premium;8500;1;8500;30/1/2023;18:14;100;Rosario
Fact4006;551;Vanya;McFie;F;vmcfiefa@elegantthemes.com;3,74E+14;(484) 3756733;11;Paula;Cannon Premium;8500;1;8500;30/1/2023;18:34;100;Rosario
Fact4007;90;Corrina;Hadlee;F;chadlee2h@youtube.com;3,74E+14;(727) 6315224;40;Kevin;Cannon Puntana;9000;1;9000;4/1/2023;11:21;100;Rosario
Fact4008;9;Gipsy;Hoff;F;ghoff8@tamu.edu;4,04E+12;(913) 4508784;40;Kevin;Cannon Puntana;9000;1;9000;12/1/2023;19:24;100;Rosario
Fact4009;642;Kaitlyn;Hiskey;F;khiskeyht@phpbb.com;4,02E+12;(273) 7919703;40;Kevin;Cannon Puntana;9000;1;9000;12/1/2023;08:29;100;Rosario
Fact4010;90;Corrina;Hadlee;F;chadlee2h@youtube.com;3,74E+14;(727) 6315224;40;Kevin;Cannon Puntana;9000;1;9000;16/1/2023;11:21;100;Rosario
Fact4011;67;Tobey;Russen;F;trussen1u@cisco.com;3,72E+14;(986) 3948295;40;Kevin;Cannon Puntana;9000;1;9000;17/1/2023;12:24;100;Rosario
Fact4012;67;Tobey;Russen;F;trussen1u@cisco.com;3,72E+14;(986) 3948295;40;Kevin;Cannon Puntana;9000;1;9000;27/1/2023;12:24;100;Rosario
Fact4013;642;Kaitlyn;Hiskey;F;khiskeyht@phpbb.com;4,02E+12;(273) 7919703;40;Kevin;Cannon Puntana;9000;1;9000;27/1/2023;08:29;100;Rosario
Fact4014;9;Gipsy;Hoff;F;ghoff8@tamu.edu;4,04E+12;(913) 4508784;40;Kevin;Cannon Puntana;9000;4;36000;31/1/2023;19:24;100;Rosario
Fact4015;543;Kale;Seligson;M;kseligsonf2@opera.com;5,50E+15;(239) 9935880;21;Bvlgari;Puig Selectivo;11000;4;44000;7/1/2023;13:10;100;Rosario
Fact4016;34;Milena;Marconi;F;mmarconix@wisc.edu;5,10E+15;(688) 4568990;10;Woman Secret;Tailored;11000;4;44000;8/1/2023;20:03;100;Rosario
Fact4017;228;Kelly;Endrighi;M;kendrighi6b@un.org;5,10E+15;(150) 4769055;10;Woman Secret;Tailored;11000;4;44000;9/1/2023;16:26;100;Rosario
