"Id_Venta","Id_Cliente","Nombre","Apellido","Genero","Correo","Tarjeta","Telefono","Id_Producto","Descripcion","Proveedor","Precio_Unitario","Cantidad","Total","Fecha","Hora","id_Sucursal","Localidad"
"Fact4001","898","Nike","Cumberledge","F","ncumberledgeox@shinystat.com","5.05E+15","(852) 8472049","11","Paula","Cannon Premium","8500","14","119000","1/2/2023","13:27","103","Mendoza"
"Fact4002","133","Rochette","Gales","F","rgales3o@mozilla.com","3.75E+14","(199) 7929339","11","Paula","Cannon Premium","8500","8","68000","1/2/2023","11:13","102","Cordoba"
"Fact4003","224","Zenia","Kibblewhite","F","zkibblewhite67@cbc.ca","5.57E+15","(656) 9867645","11","Paula","Cannon Premium","8500","1","8500","1/2/2023","18:14","100","Rosario"
"Fact4004","733","Arlen","Gamon","M","agamonkc@merriam-webster.com","4.31E+15","(634) 1722266","11","Paula","Cannon Premium","8500","31","263500","1/2/2023","16:58","105","C.A.B.A."
"Fact4005","725","Minnaminnie","Brotherick","F","mbrotherickk4@wikimedia.org","3.47E+14","(175) 7576830","11","Paula","Cannon Premium","8500","8","68000","1/3/2023","13:12","102","Cordoba"
"Fact4006","870","Marlee","Kaas","F","mkaaso5@bravesites.com","4.89E+15","(139) 6640748","11","Paula","Cannon Premium","8500","5","42500","1/3/2023","11:27","101","Bs.As."
"Fact4007","898","Nike","Cumberledge","F","ncumberledgeox@shinystat.com","5.05E+15","(852) 8472049","11","Paula","Cannon Premium","8500","14","119000","1/4/2023","13:27","103","Mendoza"
"Fact4008","522","Meagan","Cerith","F","mceritheh@pagesperso-orange.fr","4.27E+15","(725) 1732358","11","Paula","Cannon Premium","8500","31","263500","1/5/2023","17:07","105","C.A.B.A."
"Fact4009","263","Farrah","Hanlin","F","fhanlin7a@plala.or.jp","4.04E+12","(276) 2534064","11","Paula","Cannon Premium","8500","21","178500","1/6/2023","8:35","105","C.A.B.A."
"Fact4010","782","Roxie","Ferriday","F","rferridaylp@sitemeter.com","3.42E+14","(232) 2231172","11","Paula","Cannon Premium","8500","5","42500","1/7/2023","15:00","101","Bs.As."
"Fact4011","7","Inesita","Depport","F","idepport6@clickbank.net","5.01E+15","(788) 6259752","11","Paula","Cannon Premium","8500","8","68000","1/7/2023","10:42","102","Cordoba"
"Fact4012","133","Rochette","Gales","F","rgales3o@mozilla.com","3.75E+14","(199) 7929339","11","Paula","Cannon Premium","8500","8","68000","1/8/2023","11:13","102","Cordoba"
"Fact4013","503","Lou","Pepperell","F","lpepperelldy@mail.ru","5.05E+15","(756) 5283675","11","Paula","Cannon Premium","8500","1","8500","1/8/2023","19:10","100","Rosario"
"Fact4014","663","Delly","Barbara","F","dbarbaraie@omniture.com","5.01E+15","(393) 9145683","11","Paula","Cannon Premium","8500","23","195500","1/9/2023","10:07","104","SantaFe"
"Fact4015","135","Malena","Ringsell","F","mringsell3q@adobe.com","5.11E+15","(336) 4077334","11","Paula","Cannon Premium","8500","23","195500","1/10/2023","10:46","104","SantaFe"
"Fact4016","136","Kermy","Knowlden","M","kknowlden3r@slashdot.org","3.74E+14","(914) 7530113","11","Paula","Cannon Premium","8500","14","119000","1/10/2023","10:06","103","Mendoza"
"Fact4017","263","Farrah","Hanlin","F","fhanlin7a@plala.or.jp","4.04E+12","(276) 2534064","11","Paula","Cannon Premium","8500","31","263500","1/11/2023","8:35","105","C.A.B.A."
"Fact4018","634","Kinsley","Aldwick","M","kaldwickhl@bandcamp.com","3.46E+14","(406) 2734764","11","Paula","Cannon Premium","8500","5","42500","1/11/2023","11:55","101","Bs.As."
"Fact4019","634","Kinsley","Aldwick","M","kaldwickhl@bandcamp.com","3.46E+14","(406) 2734764","11","Paula","Cannon Premium","8500","5","42500","1/11/2023","11:55","101","Bs.As."
